iter	Passed	Remaining
766	821	249
767	822	248
768	823	247
769	825	246
770	826	245
771	828	244
772	829	243
773	830	242
774	831	241
775	833	240
776	834	239
777	835	238
778	836	237
779	837	236
780	839	235
781	840	234
782	841	233
783	842	232
784	844	231
785	846	230
786	847	229
787	848	228
788	849	227
789	850	226
790	852	225
791	853	224
792	854	223
793	855	222
794	857	220
795	858	220
796	859	218
797	861	217
798	862	216
799	864	216
800	865	214
801	866	213
802	867	212
803	869	211
804	870	210
805	872	209
806	873	208
807	874	207
808	875	206
809	877	205
810	878	204
811	879	203
812	880	202
813	881	201
814	883	200
815	885	199
816	886	198
817	887	197
818	889	196
819	890	195
820	891	194
821	892	193
822	894	192
823	895	191
824	896	190
825	897	189
826	898	188
827	899	186
828	901	185
829	902	184
830	903	183
831	905	182
832	906	181
833	907	180
834	909	179
835	910	178
836	911	177
837	912	176
838	913	175
839	915	174
840	916	173
841	917	172
842	918	171
843	920	170
844	921	169
845	922	167
846	923	166
847	924	165
848	927	164
849	927	163
850	929	162
851	930	161
852	931	160
853	932	159
854	933	158
855	935	157
856	936	156
857	937	155
858	939	154
859	940	153
860	942	152
861	943	151
862	945	150
863	946	149
864	948	147
865	949	146
866	951	146
867	953	144
868	954	143
869	956	142
870	959	142
871	960	140
872	961	139
873	963	138
874	964	137
875	966	136
876	967	135
877	968	134
878	970	133
879	971	132
880	972	131
881	974	130
882	975	129
883	976	128
884	978	127
885	979	126
886	983	125
887	985	124
888	989	123
889	991	122
890	993	121
891	997	120
892	998	119
893	999	118
894	1003	117
895	1004	116
896	1005	115
897	1006	114
898	1009	113
899	1010	112
900	1012	111
901	1013	110
902	1015	109
903	1016	107
904	1017	106
905	1018	105
906	1021	104
907	1022	103
908	1024	102
909	1025	101
910	1027	100
911	1028	99
912	1030	98
913	1031	97
914	1032	95
915	1034	94
916	1035	93
917	1036	92
918	1037	91
919	1039	90
920	1041	89
921	1042	88
922	1043	87
923	1045	85
924	1046	84
925	1047	83
926	1049	82
927	1050	81
928	1052	80
929	1053	79
930	1055	78
931	1056	77
932	1058	76
933	1059	74
934	1060	73
935	1061	72
936	1063	71
937	1065	70
938	1066	69
939	1067	68
940	1068	66
941	1070	65
942	1071	64
943	1072	63
944	1073	62
945	1074	61
946	1077	60
947	1078	59
948	1079	58
949	1080	56
950	1081	55
951	1083	54
952	1084	53
953	1085	52
954	1086	51
955	1088	50
956	1089	48
957	1090	47
958	1091	46
959	1092	45
960	1094	44
